marker,total_occurrences,chi2,p_value,cramers_v,significant,class_frequencies,peak_class,peak_frequency,category
因,787,298.8022932486097,1.9640727866117642e-63,0.12132023630210131,True,"{'SAME_DAY': 0.06557901471529111, 'IMMEDIATE_UPDATE': 0.06977262594739189, 'SHORT_TERM_DEV': 0.03439888811674774, 'LONG_TERM_DEV': 0.018887362637362636, 'DISTANT_RELATED': 0.01666908247572112}",IMMEDIATE_UPDATE,0.06977262594739189,backward_references
后,1808,219.9876550010943,1.886194616253941e-46,0.10409753353423723,True,"{'SAME_DAY': 0.05854126679462572, 'IMMEDIATE_UPDATE': 0.07021845742309407, 'SHORT_TERM_DEV': 0.06462821403752605, 'LONG_TERM_DEV': 0.07898351648351648, 'DISTANT_RELATED': 0.12958399768082332}",DISTANT_RELATED,0.12958399768082332,backward_references
再,887,201.16041070677105,2.1153435606462347e-42,0.09954341623144843,True,"{'SAME_DAY': 0.013755598208573257, 'IMMEDIATE_UPDATE': 0.032322781988408385, 'SHORT_TERM_DEV': 0.03856845031271716, 'LONG_TERM_DEV': 0.036057692307692304, 'DISTANT_RELATED': 0.0700101463980287}",DISTANT_RELATED,0.0700101463980287,update_indicators
日,992,182.00058760519795,2.772450265907234e-38,0.09468423605163552,True,"{'SAME_DAY': 0.03198976327575176, 'IMMEDIATE_UPDATE': 0.032545697726259475, 'SHORT_TERM_DEV': 0.034051424600416956, 'LONG_TERM_DEV': 0.03983516483516483, 'DISTANT_RELATED': 0.07711262501811857}",DISTANT_RELATED,0.07711262501811857,time_references
检查,100,155.12778832934214,1.6205102086352532e-32,0.08741502473205662,True,"{'SAME_DAY': 0.015355086372360844, 'IMMEDIATE_UPDATE': 0.01069995541685243, 'SHORT_TERM_DEV': 0.0, 'LONG_TERM_DEV': 0.0, 'DISTANT_RELATED': 0.0005797941730685607}",SAME_DAY,0.015355086372360844,process_verbs
突发,143,133.81396692987317,5.95087351148659e-28,0.08118803068664546,True,"{'SAME_DAY': 0.022392834293026232, 'IMMEDIATE_UPDATE': 0.003789567543468569, 'SHORT_TERM_DEV': 0.00034746351633078526, 'LONG_TERM_DEV': 0.004807692307692308, 'DISTANT_RELATED': 0.005942890273952747}",SAME_DAY,0.022392834293026232,breaking_news
月,729,129.92574351626592,4.039083409208582e-27,0.07999979789032458,True,"{'SAME_DAY': 0.022072936660268713, 'IMMEDIATE_UPDATE': 0.021845742309407043, 'SHORT_TERM_DEV': 0.03613620569840167, 'LONG_TERM_DEV': 0.025412087912087912, 'DISTANT_RELATED': 0.05566024061458182}",DISTANT_RELATED,0.05566024061458182,time_references
今天,99,121.56903375149543,2.468876641530032e-25,0.07738428368082766,True,"{'SAME_DAY': 0.0009596928982725527, 'IMMEDIATE_UPDATE': 0.002452073116362015, 'SHORT_TERM_DEV': 0.006254343293954135, 'LONG_TERM_DEV': 0.017513736263736264, 'DISTANT_RELATED': 0.0023191766922742428}",LONG_TERM_DEV,0.017513736263736264,time_references
调查,340,105.90204531370699,5.4407996044653e-22,0.07222598249826964,True,"{'SAME_DAY': 0.027511196417146513, 'IMMEDIATE_UPDATE': 0.02920196165849309, 'SHORT_TERM_DEV': 0.00590687977762335, 'LONG_TERM_DEV': 0.011332417582417582, 'DISTANT_RELATED': 0.010581243658501232}",IMMEDIATE_UPDATE,0.02920196165849309,process_verbs
仍,263,86.88768375089457,6.0310203598104775e-18,0.06542148446473608,True,"{'SAME_DAY': 0.011196417146513116, 'IMMEDIATE_UPDATE': 0.016049933125278644, 'SHORT_TERM_DEV': 0.028839471855455177, 'LONG_TERM_DEV': 0.010302197802197802, 'DISTANT_RELATED': 0.006232787360487027}",SHORT_TERM_DEV,0.028839471855455177,update_indicators
爆,409,86.6233639278419,6.862680119940615e-18,0.06532189977344817,True,"{'SAME_DAY': 0.02399232245681382, 'IMMEDIATE_UPDATE': 0.03588943379402586, 'SHORT_TERM_DEV': 0.015288394718554551, 'LONG_TERM_DEV': 0.01407967032967033, 'DISTANT_RELATED': 0.012755471807508335}",IMMEDIATE_UPDATE,0.03588943379402586,breaking_news
因为,30,74.26302464816669,2.8528118051928792e-15,0.06048220295630686,True,"{'SAME_DAY': 0.0009596928982725527, 'IMMEDIATE_UPDATE': 0.0057958091841284, 'SHORT_TERM_DEV': 0.0, 'LONG_TERM_DEV': 0.00034340659340659343, 'DISTANT_RELATED': 0.0}",IMMEDIATE_UPDATE,0.0057958091841284,backward_references
回应,1654,73.1076959050451,5.006335902714666e-15,0.06000989028424196,True,"{'SAME_DAY': 0.08573256557901472, 'IMMEDIATE_UPDATE': 0.10343290236290682, 'SHORT_TERM_DEV': 0.09034051424600417, 'LONG_TERM_DEV': 0.08379120879120878, 'DISTANT_RELATED': 0.06058849108566459}",IMMEDIATE_UPDATE,0.10343290236290682,backward_references
更新,61,71.0838244445757,1.3400929289362125e-14,0.05917342090348003,True,"{'SAME_DAY': 0.0012795905310300703, 'IMMEDIATE_UPDATE': 0.002229157378510923, 'SHORT_TERM_DEV': 0.010771369006254344, 'LONG_TERM_DEV': 0.0030906593406593405, 'DISTANT_RELATED': 0.0010146398028699811}",SHORT_TERM_DEV,0.010771369006254344,update_indicators
又,276,68.62335060264695,4.431462455303348e-14,0.05814029673014335,True,"{'SAME_DAY': 0.0067178502879078695, 'IMMEDIATE_UPDATE': 0.008693713776192599, 'SHORT_TERM_DEV': 0.005559416261292564, 'LONG_TERM_DEV': 0.017857142857142856, 'DISTANT_RELATED': 0.021452384403536744}",DISTANT_RELATED,0.021452384403536744,update_indicators
今晚,49,68.3707575599537,5.010036210336209e-14,0.058033194895384756,True,"{'SAME_DAY': 0.0003198976327575176, 'IMMEDIATE_UPDATE': 0.00022291573785109228, 'SHORT_TERM_DEV': 0.0006949270326615705, 'LONG_TERM_DEV': 0.00034340659340659343, 'DISTANT_RELATED': 0.006377735903754168}",DISTANT_RELATED,0.006377735903754168,time_references
收官,67,67.59696070485695,7.295696598569322e-14,0.057703860492441014,True,"{'SAME_DAY': 0.0006397952655150352, 'IMMEDIATE_UPDATE': 0.00022291573785109228, 'SHORT_TERM_DEV': 0.004169562195969423, 'LONG_TERM_DEV': 0.0, 'DISTANT_RELATED': 0.007537324249891289}",DISTANT_RELATED,0.007537324249891289,completion_markers
