marker,total_occurrences,chi2,p_value,cramers_v,significant,class_frequencies,peak_class,peak_frequency,category
claims,252,102.39268744405932,3.0433402529763507e-21,0.07214199323110558,True,"{'SAME_DAY': 0.03243574051407589, 'IMMEDIATE_UPDATE': 0.02133632790567097, 'SHORT_TERM_DEV': 0.007651559741024131, 'LONG_TERM_DEV': 0.0046022353714661405, 'DISTANT_RELATED': 0.011661807580174927}",SAME_DAY,0.03243574051407589,statement_verbs
probe,41,100.6544259479106,7.137018112215653e-21,0.07152701555957541,True,"{'SAME_DAY': 0.006731946144430845, 'IMMEDIATE_UPDATE': 0.007860752386299831, 'SHORT_TERM_DEV': 0.0, 'LONG_TERM_DEV': 0.0, 'DISTANT_RELATED': 0.0003068896731624981}",IMMEDIATE_UPDATE,0.007860752386299831,process_verbs
investigating,58,100.14769693796075,9.149608380811917e-21,0.07134674258180038,True,"{'SAME_DAY': 0.0, 'IMMEDIATE_UPDATE': 0.00028074115665356543, 'SHORT_TERM_DEV': 0.002354326074161271, 'LONG_TERM_DEV': 0.009861932938856016, 'DISTANT_RELATED': 0.0006137793463249962}",LONG_TERM_DEV,0.009861932938856016,process_verbs
ago,18,71.41392252101427,1.1413325218392932e-14,0.06024834347247148,True,"{'SAME_DAY': 0.0006119951040391676, 'IMMEDIATE_UPDATE': 0.004772599663110612, 'SHORT_TERM_DEV': 0.0, 'LONG_TERM_DEV': 0.0, 'DISTANT_RELATED': 0.0}",IMMEDIATE_UPDATE,0.004772599663110612,time_references
update,77,65.11287074290021,2.436102672252563e-13,0.05752903485830594,True,"{'SAME_DAY': 0.0006119951040391676, 'IMMEDIATE_UPDATE': 0.0011229646266142617, 'SHORT_TERM_DEV': 0.0017657445556209534, 'LONG_TERM_DEV': 0.010300241069471838, 'DISTANT_RELATED': 0.0029154518950437317}",LONG_TERM_DEV,0.010300241069471838,update_indicators
again,170,62.367113592653695,9.221199034293107e-13,0.056302993896565276,True,"{'SAME_DAY': 0.004283965728274173, 'IMMEDIATE_UPDATE': 0.00673778775968557, 'SHORT_TERM_DEV': 0.00264861683343143, 'LONG_TERM_DEV': 0.005917159763313609, 'DISTANT_RELATED': 0.01580481816786865}",DISTANT_RELATED,0.01580481816786865,update_indicators
later,33,58.05045182071371,7.447162576159896e-12,0.054319588169235544,True,"{'SAME_DAY': 0.0, 'IMMEDIATE_UPDATE': 0.00028074115665356543, 'SHORT_TERM_DEV': 0.0002942907592701589, 'LONG_TERM_DEV': 0.005698005698005698, 'DISTANT_RELATED': 0.0007672241829062452}",LONG_TERM_DEV,0.005698005698005698,time_references
more,384,56.59136143579712,1.5071122376675007e-11,0.053632585957575765,True,"{'SAME_DAY': 0.014075887392900856, 'IMMEDIATE_UPDATE': 0.01824817518248175, 'SHORT_TERM_DEV': 0.031194820482636845, 'LONG_TERM_DEV': 0.025202717510409818, 'DISTANT_RELATED': 0.011508362743593677}",SHORT_TERM_DEV,0.031194820482636845,update_indicators
now,160,55.388234580409545,2.69395631453283e-11,0.05305941139480111,True,"{'SAME_DAY': 0.0024479804161566705, 'IMMEDIATE_UPDATE': 0.002807411566535654, 'SHORT_TERM_DEV': 0.01088875809299588, 'LONG_TERM_DEV': 0.015340784571553802, 'DISTANT_RELATED': 0.005984348626668713}",LONG_TERM_DEV,0.015340784571553802,update_indicators
after,1516,52.88591376432474,9.003277663952625e-11,0.05184700485455417,True,"{'SAME_DAY': 0.07894736842105263, 'IMMEDIATE_UPDATE': 0.09376754632229085, 'SHORT_TERM_DEV': 0.09270158917010006, 'LONG_TERM_DEV': 0.05698005698005698, 'DISTANT_RELATED': 0.07334663188583704}",IMMEDIATE_UPDATE,0.09376754632229085,backward_references
